OrderID,OrderDate,ProductID,CustomerID,Quantity,UnitPriceINR
S2024_119,10-12-2024,P1,C231,1,120000
S2024_120,24-09-2024,P14,C197,1,155000
S2024_121,09-02-2024,P14,C143,1,155000
S2024_122,06-12-2024,P13,C56,1,140000
S2024_123,30-11-2024,P11,C148,1,250000
S2024_124,20-01-2024,P3,C62,1,180000
S2024_125,29-03-2024,P10,C260,1,175000
S2024_126,24-08-2024,P15,C281,1,240000
S2024_127,25-11-2024,P10,C330,1,175000
S2024_128,02-05-2024,P5,C147,1,170000
S2024_129,11-03-2024,P15,C285,1,240000
S2024_130,27-02-2024,P11,C72,1,250000
S2024_131,03-02-2024,P12,C249,1,220000
S2024_132,13-04-2024,P12,C137,1,220000
S2024_133,25-10-2024,P1,C1,1,120000
S2024_134,12-06-2024,P10,C126,1,175000
S2024_135,05-09-2024,P12,C243,1,220000
S2024_136,06-10-2024,P7,C193,2,160000
S2024_137,25-01-2024,P5,C227,1,170000
S2024_138,30-08-2024,P6,C116,1,210000
S2024_139,04-01-2024,P6,C202,1,210000
S2024_140,28-08-2024,P3,C288,1,180000
S2024_141,29-08-2024,P6,C206,1,210000
S2024_142,10-03-2024,P8,C222,1,230000
S2024_143,07-10-2024,P10,C39,1,175000
S2024_144,23-12-2024,P4,C310,1,200000
S2024_145,12-03-2024,P3,C91,1,180000
S2024_146,18-01-2024,P2,C133,1,150000
S2024_147,23-12-2024,P2,C295,1,150000
S2024_148,09-05-2024,P3,C322,1,180000
S2024_149,18-03-2024,P6,C65,1,210000
S2024_150,07-05-2024,P4,C233,1,200000
S2024_151,21-12-2024,P1,C126,1,120000
S2024_152,19-08-2024,P11,C296,1,250000
S2024_153,27-01-2024,P10,C256,1,175000
S2024_154,01-08-2024,P10,C297,1,175000
S2024_155,02-08-2024,P6,C1,1,210000
S2024_156,16-07-2024,P9,C256,1,190000
S2024_157,21-12-2024,P13,C5,1,140000
S2024_158,28-11-2024,P8,C261,1,230000
S2024_159,11-03-2024,P2,C87,1,150000
S2024_160,15-11-2024,P12,C118,1,220000
S2024_161,07-01-2024,P3,C284,1,180000
S2024_162,22-01-2024,P15,C218,1,240000
S2024_163,04-04-2024,P8,C117,1,230000
S2024_164,12-04-2024,P6,C267,1,210000
S2024_165,05-09-2024,P15,C225,1,240000
S2024_166,12-10-2024,P12,C97,1,220000
S2024_167,15-10-2024,P13,C275,1,140000
S2024_168,16-12-2024,P2,C179,2,150000
S2024_169,30-01-2024,P12,C29,2,220000
S2024_170,17-03-2024,P9,C325,1,190000
S2024_171,17-07-2024,P4,C296,1,200000
S2024_172,26-02-2024,P14,C44,6,155000
S2024_173,26-01-2024,P14,C130,1,155000
S2024_174,12-09-2024,P11,C226,1,250000
S2024_175,06-12-2024,P7,C280,1,160000
S2024_176,06-11-2024,P11,C123,1,250000
S2024_177,27-07-2024,P12,C111,1,220000
S2024_178,14-01-2024,P5,C44,1,170000
S2024_179,25-07-2024,P6,C70,1,210000
S2024_180,10-11-2024,P2,C39,1,150000
S2024_181,20-08-2024,P2,C66,1,150000
S2024_182,29-06-2024,P14,C13,1,155000
S2024_183,17-09-2024,P3,C325,1,180000
S2024_184,29-02-2024,P13,C208,1,140000
S2024_185,14-03-2024,P1,C210,1,120000
S2024_186,20-06-2024,P9,C197,1,190000
S2024_187,26-07-2024,P15,C327,1,240000
S2024_188,07-12-2024,P15,C63,1,240000
S2024_189,10-12-2024,P3,C5,1,180000
S2024_190,02-10-2024,P15,C56,1,240000
S2024_191,15-09-2024,P13,C92,1,140000
S2024_192,29-03-2024,P7,C249,1,160000
S2024_193,23-09-2024,P1,C251,1,120000
S2024_194,02-11-2024,P1,C322,1,120000
S2024_195,01-01-2024,P14,C325,1,155000
S2024_196,11-01-2024,P10,C10,1,175000
S2024_197,30-09-2024,P12,C122,1,220000
S2024_198,05-10-2024,P2,C109,1,150000
S2024_199,24-11-2024,P2,C140,1,150000
S2024_200,14-12-2024,P10,C185,1,175000
S2024_201,09-05-2024,P13,C24,1,140000
S2024_202,14-11-2024,P9,C134,1,190000
S2024_203,12-04-2024,P4,C261,1,200000
S2024_204,31-07-2024,P9,C269,1,190000
S2024_205,21-01-2024,P12,C116,1,220000
S2024_206,06-02-2024,P13,C272,1,140000
S2024_207,14-12-2024,P1,C83,1,120000
S2024_208,30-05-2024,P8,C262,1,230000
S2024_209,23-06-2024,P2,C145,1,150000
S2024_210,18-07-2024,P15,C153,1,240000
S2024_211,27-05-2024,P5,C34,1,170000
S2024_212,28-03-2024,P13,C258,1,140000
S2024_213,29-03-2024,P9,C250,1,190000
S2024_214,14-02-2024,P15,C248,1,240000
S2024_215,29-08-2024,P3,C123,1,180000
S2024_216,03-02-2024,P11,C283,1,250000
S2024_217,09-08-2024,P2,C9,1,150000
S2024_218,28-05-2024,P4,C250,1,200000
S2024_219,22-04-2024,P9,C330,1,190000
S2024_220,06-10-2024,P13,C167,1,140000
S2024_221,06-02-2024,P3,C36,1,180000
S2024_222,06-01-2024,P10,C116,1,175000
S2024_223,10-11-2024,P15,C124,1,240000
S2024_224,19-09-2024,P11,C148,1,250000
S2024_225,26-11-2024,P3,C74,1,180000
S2024_226,13-10-2024,P1,C43,1,120000
S2024_227,28-06-2024,P7,C224,1,160000
S2024_228,27-11-2024,P4,C5,1,200000
S2024_229,26-11-2024,P4,C261,1,200000
S2024_230,08-12-2024,P12,C236,1,220000
S2024_231,27-06-2024,P1,C251,1,120000
S2024_232,20-11-2024,P3,C260,1,180000
S2024_233,24-11-2024,P13,C67,1,140000
S2024_234,16-01-2024,P1,C102,1,120000
S2024_235,07-05-2024,P14,C115,1,155000
S2024_236,29-06-2024,P7,C157,1,160000
S2024_237,26-04-2024,P3,C58,1,180000
S2024_238,29-10-2024,P5,C85,1,170000
S2024_239,02-12-2024,P5,C29,1,170000
S2024_240,31-10-2024,P3,C91,1,180000
S2024_241,22-01-2024,P9,C60,1,190000
S2024_242,25-10-2024,P8,C306,1,230000
S2024_243,31-01-2024,P11,C210,1,250000
S2024_244,16-11-2024,P14,C68,3,155000
S2024_245,25-08-2024,P11,C136,1,250000
S2024_246,13-09-2024,P12,C71,1,220000
S2024_247,19-02-2024,P13,C253,1,140000
S2024_248,02-01-2024,P4,C133,2,200000
S2024_249,04-06-2024,P11,C162,1,250000
S2024_250,25-10-2024,P7,C161,1,160000
S2024_251,06-01-2024,P10,C77,1,175000
S2024_252,23-11-2024,P13,C61,1,140000
S2024_253,03-07-2024,P15,C249,1,240000
S2024_254,06-01-2024,P3,C156,1,180000
S2024_255,27-05-2024,P13,C87,1,140000
S2024_256,27-02-2024,P3,C118,1,180000
S2024_257,22-01-2024,P6,C69,1,210000
S2024_258,23-09-2024,P5,C67,1,170000
S2024_259,18-01-2024,P15,C30,1,240000
S2024_260,14-01-2024,P12,C264,1,220000
S2024_261,07-08-2024,P14,C106,1,155000
S2024_262,29-12-2024,P8,C301,1,230000
S2024_263,28-07-2024,P12,C185,1,220000
S2024_264,06-06-2024,P7,C307,1,160000
S2024_265,04-04-2024,P14,C242,1,155000
S2024_266,04-02-2024,P4,C203,1,200000
S2024_267,09-10-2024,P15,C301,1,240000
S2024_268,30-08-2024,P15,C73,1,240000
S2024_269,04-11-2024,P8,C259,1,230000
S2024_270,21-05-2024,P5,C254,1,170000
S2024_271,04-04-2024,P15,C171,1,240000
S2024_272,14-04-2024,P14,C226,1,155000
S2024_273,08-10-2024,P12,C260,1,220000
S2024_274,13-01-2024,P10,C101,1,175000
S2024_275,27-03-2024,P11,C144,1,250000
S2024_276,28-04-2024,P15,C195,1,240000
S2024_277,08-05-2024,P13,C50,1,140000
S2024_278,18-10-2024,P15,C296,1,240000
S2024_279,30-06-2024,P9,C235,2,190000
S2024_280,01-01-2024,P13,C202,1,140000
S2024_281,11-11-2024,P3,C28,1,180000
S2024_282,31-05-2024,P5,C216,1,170000
S2024_283,14-06-2024,P14,C291,1,155000
S2024_284,29-05-2024,P2,C226,2,150000
S2024_285,03-09-2024,P9,C203,1,190000
S2024_286,16-03-2024,P13,C68,1,140000
S2024_287,14-07-2024,P10,C219,1,175000
S2024_288,22-01-2024,P1,C287,1,120000
S2024_289,18-02-2024,P1,C206,1,120000
S2024_290,21-02-2024,P15,C31,1,240000
S2024_291,10-10-2024,P4,C274,1,200000
S2024_292,09-03-2024,P1,C73,1,120000
S2024_293,16-09-2024,P15,C293,1,240000
S2024_294,14-01-2024,P11,C147,1,250000
S2024_295,03-05-2024,P7,C73,1,160000
S2024_296,24-11-2024,P13,C98,1,140000
S2024_297,15-11-2024,P14,C147,1,155000
S2024_298,21-02-2024,P7,C87,1,160000
S2024_299,18-04-2024,P3,C77,1,180000
S2024_300,05-05-2024,P10,C199,2,175000
S2024_301,16-12-2024,P7,C163,1,160000
S2024_302,08-09-2024,P6,C103,1,210000
S2024_303,23-08-2024,P13,C119,1,140000
S2024_304,10-05-2024,P14,C228,1,155000
S2024_305,16-01-2024,P3,C312,1,180000
S2024_306,28-05-2024,P7,C26,1,160000
S2024_307,17-10-2024,P14,C57,1,155000
S2024_308,14-08-2024,P2,C122,2,150000
S2024_309,06-11-2024,P8,C230,1,230000
S2024_310,13-04-2024,P1,C301,1,120000
S2024_311,05-09-2024,P9,C79,1,190000
S2024_312,21-12-2024,P5,C276,1,170000
S2024_313,22-08-2024,P6,C310,1,210000
S2024_314,13-06-2024,P6,C12,1,210000
S2024_315,27-11-2024,P15,C226,2,240000
S2024_316,27-12-2024,P14,C93,1,155000
S2024_317,10-05-2024,P9,C259,1,190000
S2024_318,07-12-2024,P11,C194,1,250000
S2024_319,06-04-2024,P3,C95,1,180000
S2024_320,01-08-2024,P5,C101,1,170000
S2024_321,04-07-2024,P4,C266,3,200000
S2024_322,29-09-2024,P1,C4,1,120000
S2024_323,13-09-2024,P12,C30,1,220000
S2024_324,30-04-2024,P14,C295,1,155000
S2024_325,03-01-2024,P4,C52,1,200000
S2024_326,13-12-2024,P1,C113,1,120000
S2024_327,07-09-2024,P11,C261,1,250000
S2024_328,29-11-2024,P1,C27,4,120000
S2024_329,10-05-2024,P10,C323,1,175000
S2024_330,26-12-2024,P10,C280,1,175000
S2024_331,28-03-2024,P11,C17,1,250000
S2024_332,25-12-2024,P14,C324,1,155000
S2024_333,01-10-2024,P5,C267,1,170000
S2024_334,21-03-2024,P13,C79,1,140000
S2024_335,13-01-2024,P6,C137,1,210000
S2024_336,11-12-2024,P5,C9,1,170000
S2024_337,26-03-2024,P12,C82,1,220000
S2024_338,23-08-2024,P11,C267,4,250000
S2024_339,11-05-2024,P12,C330,1,220000
S2024_340,01-05-2024,P6,C17,1,210000
S2024_341,20-07-2024,P4,C11,1,200000
S2024_342,29-05-2024,P8,C101,1,230000
S2024_343,08-06-2024,P13,C165,1,140000
S2024_344,20-07-2024,P12,C48,1,220000
S2024_345,05-07-2024,P4,C245,1,200000
S2024_346,15-02-2024,P8,C173,1,230000
S2024_347,30-07-2024,P10,C12,1,175000
S2024_348,02-02-2024,P15,C120,1,240000
S2024_349,21-06-2024,P14,C189,1,155000
S2024_350,29-02-2024,P15,C160,1,240000
S2024_351,07-01-2024,P10,C98,1,175000
S2024_352,21-09-2024,P8,C40,1,230000
S2024_353,23-02-2024,P12,C161,1,220000
S2024_354,05-04-2024,P12,C111,1,220000
S2024_355,11-05-2024,P5,C7,1,170000
S2024_356,20-06-2024,P14,C177,1,155000
S2024_357,18-04-2024,P6,C262,1,210000
S2024_358,08-07-2024,P5,C192,4,170000
S2024_359,19-06-2024,P7,C126,1,160000
S2024_360,10-12-2024,P4,C273,1,200000
S2024_361,26-03-2024,P13,C76,1,140000
S2024_362,17-03-2024,P10,C150,1,175000
S2024_363,03-06-2024,P12,C270,1,220000
S2024_364,06-06-2024,P6,C45,1,210000
S2024_365,15-01-2024,P2,C318,1,150000
S2024_366,07-08-2024,P8,C60,1,230000
S2024_367,08-04-2024,P2,C215,1,150000
S2024_368,06-09-2024,P4,C275,1,200000
S2024_369,30-03-2024,P14,C247,1,155000
S2024_370,26-03-2024,P6,C137,1,210000
S2024_371,21-11-2024,P8,C80,1,230000
S2024_372,01-12-2024,P11,C22,3,250000
S2024_373,18-03-2024,P3,C13,1,180000
S2024_374,20-01-2024,P11,C68,1,250000
S2024_375,12-08-2024,P10,C323,1,175000
S2024_376,18-02-2024,P2,C324,3,150000
S2024_377,08-10-2024,P6,C232,1,210000
S2024_378,16-04-2024,P4,C326,1,200000
S2024_379,26-08-2024,P7,C158,3,160000
S2024_380,29-10-2024,P11,C77,1,250000
S2024_381,29-02-2024,P14,C305,1,155000
S2024_382,18-08-2024,P10,C59,1,175000
S2024_383,11-01-2024,P5,C108,1,170000
S2024_384,10-09-2024,P11,C98,3,250000
S2024_385,15-04-2024,P15,C165,1,240000
S2024_386,28-11-2024,P7,C147,1,160000
S2024_387,24-10-2024,P9,C72,1,190000
S2024_388,30-08-2024,P3,C29,1,180000
S2024_389,16-03-2024,P5,C146,1,170000
S2024_390,27-04-2024,P8,C273,1,230000
S2024_391,16-05-2024,P3,C303,1,180000
S2024_392,18-09-2024,P12,C202,1,220000
S2024_393,20-03-2024,P12,C19,1,220000
S2024_394,15-03-2024,P11,C101,1,250000
S2024_395,24-01-2024,P10,C40,1,175000
S2024_396,20-08-2024,P7,C223,1,160000
S2024_397,22-11-2024,P9,C329,1,190000
S2024_398,19-08-2024,P12,C75,1,220000
S2024_399,11-01-2024,P15,C185,1,240000
S2024_400,10-08-2024,P13,C300,1,140000
S2024_401,10-09-2024,P8,C148,1,230000
S2024_402,05-10-2024,P5,C144,1,170000
S2024_403,02-01-2024,P1,C38,1,120000
S2024_404,15-03-2024,P4,C215,1,200000
S2024_405,03-03-2024,P14,C69,1,155000
S2024_406,22-07-2024,P3,C13,1,180000
S2024_407,27-10-2024,P15,C167,2,240000
S2024_408,25-10-2024,P14,C77,1,155000
S2024_409,19-05-2024,P3,C261,1,180000
S2024_410,15-11-2024,P10,C105,1,175000
S2024_411,14-03-2024,P13,C124,1,140000
S2024_412,03-09-2024,P6,C27,1,210000
S2024_413,11-06-2024,P6,C242,1,210000
S2024_414,25-01-2024,P8,C317,1,230000
S2024_415,29-12-2024,P5,C66,1,170000
S2024_416,17-04-2024,P5,C226,1,170000
S2024_417,19-05-2024,P3,C243,1,180000
S2024_418,29-06-2024,P2,C202,2,150000
S2024_419,16-12-2024,P5,C23,1,170000
S2024_420,06-10-2024,P7,C5,1,160000
S2024_421,04-01-2024,P15,C52,1,240000
S2024_422,04-04-2024,P3,C161,1,180000
S2024_423,09-09-2024,P10,C264,1,175000
S2024_424,08-06-2024,P10,C287,1,175000
S2024_425,09-05-2024,P10,C99,1,175000
S2024_426,17-11-2024,P4,C284,1,200000
S2024_427,14-03-2024,P11,C143,1,250000
S2024_428,28-03-2024,P2,C87,1,150000
S2024_429,14-10-2024,P3,C85,1,180000
S2024_430,11-08-2024,P7,C234,1,160000
S2024_431,15-09-2024,P7,C138,1,160000
S2024_432,02-07-2024,P10,C252,1,175000
S2024_433,30-09-2024,P3,C72,1,180000
S2024_434,18-04-2024,P10,C75,1,175000
S2024_435,31-08-2024,P13,C213,1,140000
S2024_436,21-06-2024,P12,C248,1,220000
S2024_437,10-09-2024,P7,C292,1,160000
S2024_438,10-03-2024,P7,C28,1,160000
S2024_439,01-04-2024,P8,C11,1,230000
S2024_440,17-07-2024,P11,C70,1,250000
S2024_441,24-10-2024,P10,C49,1,175000
S2024_442,24-02-2024,P8,C280,1,230000
S2024_443,04-01-2024,P13,C197,1,140000
S2024_444,06-12-2024,P6,C181,1,210000
S2024_445,17-04-2024,P12,C162,1,220000
S2024_446,03-01-2024,P5,C329,1,170000
S2024_447,26-03-2024,P13,C47,4,140000
S2024_448,14-06-2024,P7,C12,1,160000
S2024_449,01-02-2024,P12,C224,1,220000
S2024_450,16-03-2024,P8,C163,1,230000
S2024_451,27-05-2024,P12,C137,1,220000
